Merchant ID,Average Amount/Transaction/Day,Transaction Amount
3160040998,100,3000
3160040998,100,4300
3160041896,185.5,4823
3160141996,185.5,5008.5
3160241992,500,26000
3160241992,500,27000
3160272997,262.5,11287.5
3162041996,185.5,11130
3162041996,185.5,6121.5
3162041996,185.5,7049
3356298138,166.788473,4836.865717
3359162473,444.9970144,21804.85371
3359690891,152.451565,4116.192255
3364840542,36.91948763,2141.330283
3365355395,806.1795426,23379.20674
3369900897,257.0911668,10283.64667
3376306597,601.4529708,24659.5718
3386662126,222.5298151,12461.66965
3388251889,231.0673178,12708.70248
3394638119,675.5694754,39858.59905
3402333645,242.1517429,10654.67669
3405816400,804.7617661,42652.3736
3408183027,432.0302518,22033.54284
3413226850,356.8122632,16056.55184
3418090677,456.2831178,15057.34289
3450127241,780.688498,36692.35941
3462219091,947.4890276,44531.9843
3465787492,172.5157672,5002.957249
3483626412,111.3750711,5680.128626
3498029973,679.9403346,38076.65874
3505845546,476.8645865,26704.41684
3506126990,563.054548,23085.23647
3508979345,205.8614188,11528.23945
3527533497,998.3440744,26955.29001
3541182255,724.0674699,43444.04819
3557460410,85.54822336,3165.284264
3564918618,253.6174611,9891.080983
3604409798,18.66793542,784.0532876
3641844855,345.2290256,13118.70297
3642050373,66.77655374,2804.615257
3651341559,434.5973006,13472.51632
3657008341,53.18771869,2553.010497
3659140079,680.8050065,33359.44532
3675535563,480.7217025,17305.98129
3687691773,644.2848716,19972.83102
3706361915,723.1415323,22417.3875
3714090682,879.4463782,40454.5334
3714419514,519.6687893,22345.75794
3729024090,360.1675018,20169.3801
3742656867,199.1953372,11752.52489
3752015916,741.7709921,37830.3206
3760238152,293.785663,14395.49749
3764558156,464.2802182,21356.89004
3774659995,48.43831932,2664.107563
3776798621,885.2821332,53116.92799
3785665909,532.2414183,15435.00113
3785986636,578.1520606,32376.51539
3799132406,780.3223403,39016.11702
3800617237,282.8443803,15556.44092
3806421625,464.1466817,15780.98718
3808398633,411.7532238,22234.67409
3811662493,866.4786465,46789.84691
3816482428,616.445728,15411.1432
3835542787,837.189105,43533.83346
3837335703,276.825748,8581.598188
3840707845,10.66365782,458.5372863
3852916753,327.2204773,16688.24434
3856955720,810.4856122,20262.14031
3858398119,474.0885428,16593.099
